image_name,point_0_x,point_0_y,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y,point_5_x,point_5_y,point_6_x,point_6_y,point_7_x,point_7_y,point_8_x,point_8_y,point_9_x,point_9_y,point_10_x,point_10_y,point_11_x,point_11_y,point_12_x,point_12_y,point_13_x,point_13_y,point_14_x,point_14_y,point_15_x,point_15_y,point_16_x,point_16_y,point_17_x,point_17_y,point_18_x,point_18_y,point_19_x,point_19_y,point_20_x,point_20_y,class_name
palm_101_keypoints,-0.0,0.0,-2.039,2.912,-4.369,6.213,-4.66,9.514,-2.815,12.524,-2.233,10.291,-1.068,14.174,0.194,16.892,1.359,18.834,0.097,10.0,1.845,14.659,2.815,17.281,4.175,19.611,2.427,9.223,3.786,13.397,4.563,16.019,5.34,18.057,4.66,7.961,5.728,11.65,6.116,13.397,6.602,15.533,palm
palm_102_keypoints,-0.0,0.0,-2.79,2.827,-5.419,6.347,-5.372,10.191,-3.755,13.153,-2.518,10.369,-1.785,14.472,-0.884,17.495,0.224,20.053,0.001,10.0,0.938,14.994,1.962,18.092,3.159,21.047,2.24,8.861,3.2,13.954,3.958,16.801,4.691,19.55,4.868,8.051,5.41,11.781,5.81,13.981,6.157,16.401,palm
palm_103_keypoints,-0.0,0.0,-2.919,2.835,-5.556,6.386,-5.718,10.232,-3.948,13.147,-2.515,10.349,-2.109,14.565,-1.066,17.656,0.03,20.211,0.005,10.0,0.713,15.144,1.66,18.351,2.893,21.212,2.093,9.587,3.066,14.173,3.878,17.074,4.552,19.669,4.185,8.108,5.308,12.043,5.753,14.447,6.177,16.641,palm
palm_104_keypoints,-0.0,0.0,-3.142,3.521,-5.354,7.049,-5.21,10.436,-5.548,13.151,-2.435,10.355,-1.932,14.221,-1.015,17.116,-0.659,19.553,0.003,10.0,1.1,14.629,1.61,17.567,2.19,20.187,2.226,9.564,3.066,13.704,3.738,16.213,4.104,18.751,3.978,8.558,5.152,11.942,5.465,13.972,5.563,15.92,palm
palm_105_keypoints,-0.0,0.0,-3.002,2.758,-5.081,6.333,-5.946,9.353,-5.457,12.557,-2.356,10.33,-1.894,13.98,-1.379,16.741,-0.903,19.29,0.0,10.0,0.687,14.267,1.176,17.473,1.864,19.981,1.852,9.325,2.479,13.273,3.015,16.14,3.431,18.37,3.843,7.634,4.623,11.224,5.02,13.348,5.251,15.173,palm
palm_106_keypoints,-0.0,0.0,-2.877,2.609,-5.311,6.831,-5.075,10.935,-3.55,14.418,-2.516,10.724,-1.64,15.084,-0.353,18.174,1.105,20.837,0.002,10.0,1.491,15.547,2.598,18.96,3.877,21.948,2.503,9.072,3.856,14.218,4.528,17.358,5.285,20.285,4.883,7.947,5.743,12.103,6.45,14.416,6.755,16.865,palm
palm_107_keypoints,-0.0,0.0,-2.037,2.75,-3.789,5.989,-5.063,9.583,-7.313,11.62,-2.129,9.997,-1.733,14.088,-0.809,16.716,-0.079,19.48,-0.001,10.0,0.816,14.772,1.385,17.879,2.397,20.387,1.842,9.513,2.539,14.196,2.926,16.798,3.595,19.145,4.085,8.86,4.892,12.144,5.171,14.017,5.289,16.233,palm
palm_108_keypoints,-0.0,0.0,-2.295,2.521,-4.111,5.481,-5.424,9.336,-7.949,11.868,-2.519,10.004,-2.184,14.701,-1.35,17.766,-0.292,20.704,0.01,10.0,0.721,15.369,1.123,19.028,1.952,21.979,2.189,9.897,2.546,15.053,2.915,18.025,3.503,20.757,4.226,9.227,5.098,13.094,5.195,15.159,5.308,17.568,palm
palm_109_keypoints,-0.0,0.0,-2.728,2.108,-4.752,5.355,-6.663,8.37,-9.742,10.138,-2.735,9.809,-2.553,14.52,-1.707,17.496,-0.63,20.469,0.026,10.0,0.331,15.283,1.187,18.949,2.036,22.04,2.089,9.511,2.622,14.676,3.011,17.889,3.397,20.757,4.607,8.786,5.695,12.564,6.071,14.743,6.566,17.264,palm
palm_10_keypoints,-0.0,0.0,-2.583,2.968,-4.66,6.334,-5.347,9.81,-6.142,12.381,-2.095,10.158,-1.223,13.631,-0.592,15.85,0.039,18.068,-0.003,10.0,1.034,14.097,1.687,16.496,2.318,18.714,1.955,9.492,2.848,13.147,3.389,15.376,3.737,17.536,4.039,8.51,4.485,11.485,4.769,13.102,4.894,14.921,palm
